mother ama
father aita
woman emakume
man gizon
one bat
ten hamar
number zenbaki
mountain mendi
sea itsaso
snow elur
winter negu
water ur
wine ardo
teacher irakasle
pupil ikasle
tuesday astearte
november azaro
year urte
eat jan
food janari
drink edan
fish arrain
meat haragi 
big handi
small txiki
buy erosi
sell saldu
well ongi
wrong gaizki
eye begi
ear belarri
nose sudur
face aurpegi
arm beso
finger hatz
and eta
or edo
be izan
I ni
we gu
when noiz
where non
who nor
what zer
which zein
why zergatik
how nola
thing gauza
name izen
friend lagun
image irudi
radio irrati
more gehiago
less gutxiago
new berri 
old zahar
way bide
first lehen
our gure
now orain
then orduan
yesterday atzo
people jende
look begiratu
yes bai
no ez
maybe beharbada
its bere
precise zehatz
this hau
that hori
day egun
use erabili
know jakin
make egin
out kanpoan
table mahai
chair jarleku
door ate
window leiho
paper paper
wood zur
iron burdina
word hitz
sentence esaldi
cloud hodei
wind haize
night gau
morning goiz
afternoon arratsalde
dog txakur
cat katu
newspaper egunkari
car auto
train tren
hammer mailu
worker langile
left ezker
world mundu
health osasun
culture kultura
